,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death,lat,lon
280,Hainan,China,20/1/31 14:00,52,0,1,1,19.5663947,109.949686
281,Liaoning,China,20/1/31 14:00,48,0,1,0,41.9436543,122.5290376
282,Shanxi,China,20/1/31 14:00,39,0,1,0,37.2425649,111.8568586
283,Tianjin,China,20/1/31 14:00,32,0,0,0,39.3433574,117.3616476
284,Guizhou,China,20/1/31 14:00,29,0,2,0,26.8429645,107.2902839
285,Gansu,China,20/1/31 14:00,29,0,0,0,35.7518326,104.2861116
286,Ningxia,China,20/1/31 14:00,21,0,0,0,37.198731,106.1580937
287,Inner Mongolia,China,20/1/31 14:00,20,0,1,0,43.37822,115.0594815
288,Xinjiang,China,20/1/31 14:00,17,0,0,0,42.5246357,87.5395855
289,Jilin,China,20/1/31 14:00,14,0,1,0,43.1520105,126.4371385
290,Hong Kong,Hong Kong,20/1/31 14:00,12,0,0,0,22.3193039,114.1693611
291,Taiwan,Taiwan,20/1/31 14:00,10,0,0,0,23.69781,120.960515
292,Qinghai,China,20/1/31 14:00,8,0,0,0,35.744798,96.4077358
293,Macau,Macau,20/1/31 14:00,7,0,0,0,22.198745,113.543873
294,Tibet,China,20/1/31 14:00,1,0,0,0,30.1533605,88.7878678
295,0,Thailand,20/1/31 14:00,19,0,5,0,15.870032,100.992541
296,0,Japan,20/1/31 14:00,15,0,1,0,36.204824,138.252924
297,0,Singapore,20/1/31 14:00,13,0,0,0,1.352083,103.819836
298,0,South Korea,20/1/31 14:00,11,0,0,0,35.907757,127.766922
299,0,Malaysia,20/1/31 14:00,8,0,0,0,4.210484,101.975766
300,0,France,20/1/31 14:00,5,0,0,0,46.227638,2.213749
301,Bavaria,Germany,20/1/31 14:00,5,0,0,0,48.7904472,11.4978895
302,New South Wales,Australia,20/1/31 14:00,4,0,2,0,-31.2532183,146.921099
303,0,United Arab Emirates,20/1/31 14:00,4,0,0,0,23.424076,53.847818
304,Victoria,Australia,20/1/31 14:00,3,0,0,0,-37.4713077,144.7851531
305,Illinois,United States,20/1/31 14:00,2,0,0,0,40.6331249,-89.3985283
306,California,United States,20/1/31 17:00,3,0,0,0,36.778261,-119.4179324
307,0,Vietnam,20/1/31 14:00,2,0,0,0,14.058324,108.277199
